Date,Comment,tokens_stopword,clean_text
2026-03-21T18:53:55Z,['jawab'],['jawab'],jawab
2026-03-21T18:52:35Z,"['dari', 'pertanyaan', 'retno', 'aja', 'jawabannya', 'sudah', 'tidak', 'nyambung', 'wkwkwkwkwk']","['pertanyaan', 'retno', 'aja', 'jawabannya', 'tidak', 'nyambung', 'wkwkwkwkwk']",pertanyaan retno aja jawabannya tidak nyambung wkwkwkwkwk
2026-03-21T18:52:20Z,"['jawabannya', 'panjang', 'lebar', 'kurang', 'nyambung', 'ngdabrus', 'doank']","['jawabannya', 'panjang', 'lebar', 'kurang', 'nyambung', 'ngdabrus', 'doank']",jawabannya panjang lebar kurang nyambung ngdabrus doank
2026-03-21T18:48:57Z,"['buktinya', 'mana', 'wowo']","['buktinya', 'mana', 'wowo']",buktinya mana wowo
2026-03-21T18:45:05Z,"['apakah', 'anda', 'tahu', 'pnm', 'membantu', 'masyarakat', 'atau', 'membudidayakan', 'piutang', 'tolong', 'sidak', 'sistemnya']","['tahu', 'pnm', 'membantu', 'masyarakat', 'membudidayakan', 'piutang', 'sidak', 'sistemnya']",tahu pnm membantu masyarakat membudidayakan piutang sidak sistemnya
2026-03-21T18:43:27Z,"['pak', 'presiden', 'smoga', 'tetap', 'sehat', 'dan', 'walaufuat']","['presiden', 'smoga', 'tetap', 'sehat', 'walaufuat']",presiden smoga tetap sehat walaufuat
2026-03-21T18:42:59Z,"['yang', 'keren', 'expert', 'dan', 'kritis', 'disini', 'menurut', 'saya', 'itu', 'adalah', 'mba', 'nana', 'pak', 'chatib', 'sampai', 'retno', 'next', 'moderator', 'ganti', 'dah', 'tidak', 'kompeten', 'banget', 'nasbi', 'sudah', 'dimasak', 'saja', 'disini', 'udahlah', 'suara', 'nimpalinnya', 'ganggu', 'banget', 'grogi', 'juga']","['keren', 'expert', 'kritis', 'disini', 'mba', 'nana', 'chatib', 'retno', 'next', 'moderator', 'ganti', 'dah', 'tidak', 'kompeten', 'banget', 'nasbi', 'dimasak', 'disini', 'udahlah', 'suara', 'nimpalinnya', 'ganggu', 'banget', 'grogi']",keren expert kritis disini mba nana chatib retno next moderator ganti dah tidak kompeten banget nasbi dimasak disini udahlah suara nimpalinnya ganggu banget grogi
2026-03-21T18:42:28Z,"['kita', 'baca', 'komenan', 'anak', 'abah']","['baca', 'komenan', 'anak', 'abah']",baca komenan anak abah
2026-03-21T18:41:05Z,"['mengkritik', 'tanpa', 'data', 'sebenarnya', 'tidak', 'baik', 'mengkritik', 'harus', 'berdasarkan', 'dengan', 'fakta', 'yang', 'terjadi', 'lapangan', 'agar', 'pengobatannya', 'bisa', 'tepat', 'dan', 'berguna']","['mengkritik', 'data', 'sebenarnya', 'tidak', 'baik', 'mengkritik', 'berdasarkan', 'fakta', 'terjadi', 'lapangan', 'pengobatannya', 'tepat', 'berguna']",mengkritik data sebenarnya tidak baik mengkritik berdasarkan fakta terjadi lapangan pengobatannya tepat berguna
2026-03-21T18:34:05Z,"['lain', 'nan', 'ditanyo', 'lain', 'nan', 'dijawek']","['nan', 'ditanyo', 'nan', 'dijawek']",nan ditanyo nan dijawek
