Date,Comment
2026-03-21T18:53:55Z,a jawab b
2026-03-21T18:52:35Z,dari pertanyaan retno aja jawabannya sudah tidak nyambung wkwkwkwkwk
2026-03-21T18:52:20Z,jawabannya panjang lebar tp kurang nyambung ngdabrus doank
2026-03-21T18:48:57Z,buktinya mana wowo
2026-03-21T18:45:05Z,apakah anda tahu pnm membantu masyarakat atau membudidayakan piutang tolong sidak sistemnya
2026-03-21T18:43:27Z,pak presiden smoga tetap sehat dan walaufuat
2026-03-21T18:42:59Z,yang keren expert dan kritis disini menurut saya itu adalah mba nana pak chatib sampai bu retno next moderator ganti dah tidak kompeten banget di nasbi el sudah dimasak saja disini udahlah suara nimpalinnya ganggu banget grogi juga
2026-03-21T18:42:28Z,kita baca komenan anak abah
2026-03-21T18:41:05Z,mengkritik tanpa data sebenarnya tidak baik mengkritik harus berdasarkan dengan fakta yang terjadi di lapangan agar pengobatannya bisa tepat dan berguna
2026-03-21T18:34:05Z,lain nan ditanyo lain nan dijawek
2026-03-21T18:33:05Z,semoga sehat selalu dan d permudah urusan bapak presiden
2026-03-21T18:23:46Z,kalau jokowi di beri pertanyaan seperti gini kira dia bisa jawab nggak ya
2026-03-21T18:20:29Z,janji parpol jilid
2026-03-21T18:20:22Z,mau ganti saya tunggu dong
2026-03-21T18:17:15Z,lantai kamar mandi pls do your magic
2026-03-21T18:12:57Z,bah nana ini kayanya anti pemerinta saat ini yh
2026-03-21T18:08:00Z,presiden kita prabowo subioanto orang yang cerdas berpendidikan kutu buku cerdas dan patriotik orangnya tulus tapi lemah di kelilingi penjilat dan ada musuh dalam selimut sehat selalu pak presiden tetap silaturahim tapi jangan terlalu dekat dengan pak jokowi ya pak
2026-03-21T18:03:37Z,prabowo malah stand up comedy anjir
2026-03-21T18:02:51Z,bubarkan segala macam bentuk relawan pak cukup kita dengan partai politik saja sudah begitu rumit kalau segala bentuk relawan makin merajalela lela ini akan memicu keributan antar rakyat karena berdebat atas dasar saling mendukung tidak sehat
2026-03-21T18:01:33Z,mbak nana percuma bedikusi dengan orang yang buta dan tuli hati dan pikiran rakyat indonesia sudah muak dengan keadaan negara seperti ini titik kemuakan rakyat adalah tidak perduli lagi dengan siapa pemimpinnya seperti apa yang terjadi sekarang ini
2026-03-21T17:52:30Z,please lantai toilet do your magic
2026-03-21T17:51:22Z,pak probowo berbobot pengetahuannya
2026-03-21T17:50:41Z,lagi ngehayaal pak warga bapa masih banyak yang kelaparan
2026-03-21T17:50:25Z,ditanya apa jawabnya kemana si pak
2026-03-21T17:49:49Z,yang keluar dari mulut nya terdengar indah merdu dan menenangkan tapi realitanya menyakitkan
2026-03-21T17:47:00Z,sangat keren dan sangat membantu acara seperti ini memberikan informasi yang jelas dari gagasan pemimpin serta bisa di kritik langsung terimakasih mata nazwa terimakasih bapak presiden prabowo
2026-03-21T17:44:49Z,bahas mbg di menit berapa ya
2026-03-21T17:44:12Z,kapan ya prabowo mundur
2026-03-21T17:34:50Z,bukan diskusi ini mah mendengarkan cerama
2026-03-21T17:30:53Z,sumber pangan tetek bengek beli pupuk aja dibatas mahal sering tidak ada coba dong sentuh sampai lapisan terbawah hadeuuh ekonomi makin ancur
2026-03-21T17:26:48Z,cuma bingung kenapa kapolri tidak ganti apa nunggu pensiun apa gimana
2026-03-21T17:24:21Z,paling bagus yah pasti mbak najwa
2026-03-21T17:23:45Z,tiap jawab kok muter sampai halu dan semua iya aja kecuali najwaz
2026-03-21T17:20:56Z,ditunggu pak wapres menjawab semoga bisa di buatkan acaranya
2026-03-21T17:16:45Z,gw yakin nyesel tidak sih milih dia jadi presiden
2026-03-21T17:11:40Z,kurang bung rocky pasti seruu
2026-03-21T17:09:17Z,semoga ini jadi bare minimum tradition untuk presiden indonesia
2026-03-21T17:09:13Z,orang quot yang bilang omong kosong dll kalian engga nangkep yang di omongin atau emng buzzer aja v
2026-03-21T17:06:01Z,terpojokkan dengan pertanyaan kritis dari mba nana kemudian moderator penjilat memotong kritis itu takut yaa kalau nanti prabowo salah jwb karena sudah kepancing dengan pertanyaan kritis
2026-03-21T17:04:20Z,diundang untuk diskusi no diundang untuk dengerin ceramah presiden yes
2026-03-21T17:03:39Z,cucu ubed emang beda
2026-03-21T17:02:17Z,bawel banget moderator uda diem aja kalo ada yang ngomong
2026-03-21T17:03:07Z,tugas dia kan menjilat penguasa
2026-03-21T17:01:47Z,mna masih lama gnti presiden haduh
2026-03-21T17:01:21Z,wowo mendongeng bukan menjawab
2026-03-21T17:01:20Z,main bersih lah belajar yakin negara pasti membantu kesulitan kalian
2026-03-21T16:58:54Z,pelanggar ham too
2026-03-21T16:58:11Z,mereka pikir negara tidak bisa galak barangkali pak justru negara banyak mendengarken untk menyiapken kekuatan yang lebih buas lagi negara diam bukan berarti kalah menyerah
2026-03-21T16:57:56Z,kita tunggu pembuktian pak presiden wowo
2026-03-21T16:57:54Z,seharusnya tanya jawab seperti ini dengan para mahasiswa saja karena tidak ada kepentingan disitu
2026-03-21T16:57:14Z,ganti presiden arogan
2026-03-21T16:56:02Z,moderatornya ketar ketir tidak netral
2026-03-21T16:55:29Z,mbak najwa sedang cosplay menjadi buzzer wkwkwkwk
2026-03-21T16:52:47Z,saya hanya melihat orang tua yang memuji diri sendiri tidak ada pemikiran negarawan belum layak untuk jadi pemimpin saya semakin khawatir bangsa ini akan benar gagal
2026-03-21T16:51:31Z,mba nana rakyat sekarang cari emas susah di jual juga susah ada apa dengan pemerintah di negeri ini para pembeli emas di tangkap
2026-03-21T16:50:52Z,dulu ikut pilih dan kampanyekan prabowo tp sekarang setelah jd kok ragu ya serasa ada jarak kurang dkt sama rakyat banyak omon pidato dan emosian kl berhadapan timbul rs takut hrsnya kan senang gembira
2026-03-21T16:47:17Z,ya jangan mahal aja sekolahnya
2026-03-21T16:46:02Z,mudah n palestina akan cepat merdeka sepenuhnya
2026-03-21T16:46:00Z,contoh sppg di desa saya dikabupaten wonosobo jawa tengah sudah kali kejadian ada belatungnya dimakanan tapi nggak ditutup dan tetap jalan prabowo omon omon
2026-03-21T16:45:47Z,sumpah wanita idaman para rakyat sehat selalu mbak nana sekeluarga semoga dalam lindungan allah amin
2026-03-21T16:45:41Z,hanya mba nana yang mengajukan pertanyaan yang kritis yang lainnya kaku tidak mau kritisi secara tajam tentang isu yang terjadi
2026-03-21T16:45:09Z,ini sudah ini yang orang papua butuhkan dialog terbuka dengan presiden
2026-03-21T16:42:15Z,hahaa bossman anda terlalu sopan tidak setajam konten konten anda
2026-03-21T16:41:24Z,kuat kuat banget dengerinnya
2026-03-21T16:40:48Z,terkait mbg bnyak yang nggak berani mengkritik langsung karena banyak ancaman sudahlah prabawo cuma omon senengnya duduk dibelakang meja saya kali pilih prabowo tapi pilpres depan saya sudah nggak mau pilih prabowo
2026-03-21T16:40:38Z,mau nonton tp males sama moderator nya
2026-03-21T16:38:50Z,menit iri dengan korea bikin mobil eh sekarang malah import mobil dari india
2026-03-21T16:37:48Z,saya saya saya saya saya and me but we dont care
2026-03-21T16:36:14Z,kami suka prabowo tapi tidak suka sama orang di sekitarnya yang kbanyakan plonga plongo kemudian tidak ada transparansi dalam menyampaikan program berjalan
2026-03-21T16:33:10Z,moderator ngatur peserta moderator diatur peserta
2026-03-21T16:32:22Z,keputusan yang mantab jika dapur bocor maka bermasalah trus ngapain dipertahanken jika bikin repot lagi
2026-03-21T16:31:15Z,pakai lembaga survei netral spt saat pemilu biar tahu lebih banyak mana rakyat yang setuju mbg atau yang tidak setuju
2026-03-21T16:30:45Z,pak tahun terlalu lama untuk mempertahankan orng toxic dipemerintahan masih ada waktu untuk mencari talent yang oke tidak becus pecat sat sest
2026-03-21T16:30:03Z,kemon mon omon siap my presiden
2026-03-21T16:28:44Z,mbg libur memasak giliran mbak nana yang memasak
2026-03-21T16:28:43Z,coba buat forum diskusi seperti ini tapi gantian wapres kita gibran yang jadi narasumbernya kita lihat kemampuannya
2026-03-21T16:28:28Z,kita tunggu pertamina diaudit oleh bapak ri
2026-03-21T16:27:57Z,banyak anak di bawah umur otaknya yang di racun
2026-03-21T16:27:03Z,kebijikan komdigi untuk menstop anak dibawah umur menurut saya pantas dan cara menstop media untuk anak dibawah umur sangat sangat membantu untuk mengurangi tindakan anak di bawah umur untuk tidak yang macam macam uplode video yang tidak senonoh
2026-03-21T16:26:37Z,pak prabowo tidak tanya dana desa coba cek pak dana desa yang dialokasikan m apakah sampai didesa juga m juga atau banyak potongan birokrasi yang totalnya di terima desa sudah berkurang banyak coba cek pak prabowo jangan tidak peduli soal dana desa cek dong pak
2026-03-21T16:25:56Z,bertanya kepada pelaku penculikkan aktivis
2026-03-21T16:25:48Z,love u mbak nana
2026-03-21T16:24:32Z,pinter gini presiden aing
2026-03-21T16:23:10Z,demokrasi indonesia demokrasi sakit alias rusak terlalu banyak partai politik yang bakal jadi calon sarang para koruptor
2026-03-21T16:22:23Z,anjay sudah menit baru bahas tidur
2026-03-21T16:18:59Z,jangan mau rubah ke kendaraan listrik di beberapa daerah timur terpencil belum dapet listrik woi tolong pemerataan listrik seluruh indonesia yng belum dpet dan subsidikan listrik kalau memang indonesia penghasil batu bara no didunia seharusnya listrik di subsidikan
2026-03-21T16:17:11Z,dd diperuntukan banyak program yang sudah di buat rab nya jadi m ituh harus di bagi kebutuhan yang sudah tertera bukan untuk satu jurusan ajh pak presiden makanya kepdes serba salah kalo di fonis
2026-03-21T16:17:10Z,elah keliatan amat sih ketawa karirnya
2026-03-21T16:13:06Z,pokoknya hidup mbg
2026-03-21T16:12:54Z,negara tidak pernah takuti jika terjadi perang antar bangsa tetapi negara menakuti jika negara nya sendiri tempur sesama rakyat yang hidup disatu negara itu musuh sesama penjajah negri sendiri
2026-03-21T16:12:47Z,langkah teknologi baru juga harus di dukung dengan kualitas generasi muda khususnya mahasiswa mahasiswa saat ini jadi kualitas mahasiswa kita ini perlu adanya terobosan baru yang kualitasnya hanya triak triak menghujat pemerintah yuk kita isi kepala kita dengan trobosan trobosan baru di bidang teknologi
2026-03-21T16:10:13Z,biar pangan kita cukup jika masih banyak manusia manusia yang tidak pernah puas serakah rangka takmungkin merasa cukup harus percaya itu
2026-03-21T16:09:23Z,kami menunggu tindakan yang super tegar untuk presiden terhadap bupati wlaikota serta gubernur sekalipun yang bekerja tidak efisien pecat untuk mereka yang tidak mau bekerja dan meninggalkan tugas yang wajib untuk kemajuan desa
2026-03-21T16:05:37Z,harga pangan melonjak
2026-03-21T16:05:23Z,ujian bagi ina adalah apakah tetap setia kepadabapak demokrasi dunia usa ina ekspor minyak ke as uea dapat dukungan penuh as menjadikan uea kaya aman makmur ingatlah pesan ini dari orang tua
2026-03-21T16:03:09Z,beliau tuh tau tujuan negara but dont know how to achive the goals dengan cara yang sesuai dengan kondisi kita kembali seharusnys memahami lapangan juga penting bukan hanya teori
2026-03-21T16:02:49Z,ngeri ngerii sedap
2026-03-21T16:02:37Z,kok tidak ada yang nanya kenapa milih mentri orang partai bukan orang yang kompeten di bidang nya cuma pak purbaya dan amran sulaiman saja mentri yang ilmu dan kerjaan nya sesuai yang lain cuma untuk mengamankan koalisi aja
2026-03-21T16:02:11Z,iya gantian wapres menjawab dong
2026-03-21T15:58:33Z,tidak semua yang di bicarakan ada batasan yang di ilustrasi kan
2026-03-21T15:58:08Z,kalo dilihat dari diskusi ini indonesia seakan terasa indah banget tapi realitanya sangat berbeda ya tau sendiri lah masalah utamanya adalah koruptor merajalela tidak dibahas eksplisit di ruangan diskusi ini
2026-03-21T15:56:11Z,fasilitas umum di aceh jembatan dan lain lain sudah dibantu negara atau belum pak bantu buatkan video terupdate bantuan negara terkait hal itu pak
2026-03-21T15:49:55Z,kecuali giliran mba najwa yang lain polanya sama pertanyaan jawaban power point
2026-03-21T15:46:43Z,mohon maaf pak dengan besar hati saya bilng kebaikan bapak yang dinarasikan saat ditanya kpd mbak najwa itu sama sekali belum dirasakan secara signifikan di masyarakat
2026-03-21T15:43:58Z,harusnya pak prsiden jangan bilang quot ko saya heran orang yang sudah kaya raya masih mencuri ganti aja pak ko saya heran sekolah tinggi tingi tapi hobinya nyuri alias korupsi
2026-03-21T15:42:53Z,pak prabowo pinter banget
2026-03-21T15:42:33Z,yang lain nanya nya cmn basic basic kaya lagi denger cerita dongeng anak dari bapa nya kosong tidak ada isi ya ke mana gthpercuma lulusan luar negri tapi hampa bner
2026-03-21T15:42:28Z,salah satu wanita hebat yang saya kagumi setelah istri saya yaitu mba nana
2026-03-21T15:40:01Z,terima kasih mbak nana atas keberanian menanyakan hal yang tidak mudah dan itu mewakili suara banyak orang termasuk saya
2026-03-21T15:38:00Z,bener pak hukum negara kita wajib banget ditegakkan
2026-03-21T15:37:08Z,sekarang pun sudah banyak yang memilih kendaraan tipe listrik ya pak jd tanpa bensin
2026-03-21T15:36:19Z,semoga rencana bapak bs terwujud dan melahirkan banyak dokter yang bisa ikut serta membantu sesegera mungkin
2026-03-21T15:35:00Z,setuju sama bapak karena makanan akan masuk ke dalam tubuh penting banget untuk di cek dulu kandungan dr makanan tersebut beserta kualitasnya
2026-03-21T15:32:18Z,masyarakat menilai presiden dari sisi positifnya husnudzon sementara presiden menilai diri sendiri dari sisi negatifnya intropeksi kalo bisa seperti itu niscaya sejahtera jaya yang terjadi skrng masyarakat menilai presiden dri sisi negatifnya dan presiden menilai diri nya dari sisi positif terlena dan jumawa
2026-03-21T15:31:29Z,tidak konsisten ya katanya mau produksi mobil yang energinya masih pake bensin abis itu katanya dalam tahu n semua kendaraan harus bertenaga listrik
2026-03-21T15:30:15Z,beda banget komenttr disini dengan komentar di channel sebeelah wkwkwkwkzerr buzzer wkwkwkwkk
2026-03-21T16:33:01Z,di channel mana bg
2026-03-21T15:27:26Z,good job mba nana mantabs
2026-03-21T15:27:10Z,keren mbak nana
2026-03-21T15:26:37Z,wo tlg dengerin suara kita tetapi kan kamu kasih jabatan sama sodara mu ah sudah lah akting aja
2026-03-21T15:26:08Z,yang lain jangan cuma ngopi coba informasikan masalah ijasah jokowi asli apa palsu
2026-03-21T15:24:32Z,hahaha terlihat labil nya orang militer tidak cocok jadi kepala negara karena emosian dan kebijakannya kurang dipikir mendalam
2026-03-21T15:16:07Z,harusnya begini tuh undang rocky gerung
2026-03-21T15:15:22Z,katanya efisiensi untuk icor tapi icor kita awal kok malah tinggi
2026-03-21T15:15:08Z,bbm di kalbar susah pak
2026-03-21T15:15:08Z,pangan memang salah satu kebutuhan para manusia di kehidupan pak
2026-03-21T15:14:43Z,takut banget sama wowo
2026-03-21T15:12:54Z,bangsa indonesia krisis akan quot moralitas quot kejujuran dan keiqlasan tidak ada dalam jiwa para politikus yang membentuk karakter penuh korupt dalam semua lini kehidupan
2026-03-21T15:12:49Z,dia tidak bisa bilang kalau dia masuk perangkap trum
2026-03-21T15:12:41Z,saya sepemikiran dengan pk prabowo
2026-03-21T15:07:38Z,katanya orang kaya raya masih mau nyuri ngaca pa
2026-03-21T15:07:15Z,allahu akbar allahu akbar allahu akbar
2026-03-21T15:06:04Z,trimakasih pak semoga indonesia semakin maju
2026-03-21T14:59:53Z,kenapa pada menyoroti bahwa kalo mbak nana yang nanya prabowo keringetan kalo mbak nana kan nanya ngejar begitu
2026-03-21T14:58:30Z,mba nana istimewa dengan pertanyaannya ia telah ikut selamatkan indonesia dari kejahatan
2026-03-21T14:56:52Z,mbak nana mesti belajar lagi
